divipola,municipio,departamento,menciones,ambiguedad
66001,PEREIRA,RISARALDA,282,unico
76001,CALI,VALLE DEL CAUCA,22,corto
17001,MANIZALES,CALDAS,139,unico
63001,ARMENIA,QUINDIO,4,nombre_repetido
66170,DOSQUEBRADAS,RISARALDA,18,unico
76147,CARTAGO,VALLE DEL CAUCA,10,unico
76520,PALMIRA,VALLE DEL CAUCA,11,unico
76109,BUENAVENTURA,VALLE DEL CAUCA,47,unico
27001,QUIBDÓ,CHOCÓ,94,unico
76130,CANDELARIA,VALLE DEL CAUCA,0,unico
17174,CHINCHINÁ,CALDAS,9,unico
66682,SANTA ROSA DE CABAL,RISARALDA,4,unico
63130,CALARCÁ,QUINDIO,5,unico
76834,TULUÁ,VALLE DEL CAUCA,6,unico
73001,IBAGUÉ,TOLIMA,2,unico
63470,MONTENEGRO,QUINDIO,2,unico
63594,QUIMBAYA,QUINDIO,6,unico
76895,ZARZAL,VALLE DEL CAUCA,0,unico
17873,VILLAMARÍA,CALDAS,0,unico
63190,CIRCASIA,QUINDIO,0,unico
66400,LA VIRGINIA,RISARALDA,0,unico
27361,ISTMINA,CHOCÓ,7,unico
63401,LA TEBAIDA,QUINDIO,1,unico
76400,LA UNIÓN,VALLE DEL CAUCA,0,palabra_riesgosa
76622,ROLDANILLO,VALLE DEL CAUCA,7,unico
17042,ANSERMA,CALDAS,0,unico
76111,GUADALAJARA DE BUGA,VALLE DEL CAUCA,0,unico
17524,PALESTINA,CALDAS,0,nombre_repetido
76020,ALCALÁ,VALLE DEL CAUCA,3,unico
76041,ANSERMANUEVO,VALLE DEL CAUCA,0,unico
05360,ITAGÜÍ,ANTIOQUIA,0,unico
76892,YUMBO,VALLE DEL CAUCA,5,unico
66440,MARSELLA,RISARALDA,2,unico
76364,JAMUNDÍ,VALLE DEL CAUCA,3,unico
76113,BUGALAGRANDE,VALLE DEL CAUCA,0,unico
76497,OBANDO,VALLE DEL CAUCA,5,unico
17614,RIOSUCIO,CALDAS,0,nombre_repetido
76248,EL CERRITO,VALLE DEL CAUCA,0,unico
76036,ANDALUCÍA,VALLE DEL CAUCA,0,unico
73268,ESPINAL,TOLIMA,1,unico
76122,CAICEDONIA,VALLE DEL CAUCA,0,unico
76736,SEVILLA,VALLE DEL CAUCA,2,unico
63272,FILANDIA,QUINDIO,3,unico
19573,PUERTO TEJADA,CAUCA,1,unico
76403,LA VICTORIA,VALLE DEL CAUCA,0,palabra_riesgosa
76318,GUACARÍ,VALLE DEL CAUCA,0,unico
27787,TADÓ,CHOCÓ,3,corto
27077,BAJO BAUDÓ,CHOCÓ,1,unico
66088,BELÉN DE UMBRÍA,RISARALDA,4,unico
76823,TORO,VALLE DEL CAUCA,1,corto
17877,VITERBO,CALDAS,1,unico
17486,NEIRA,CALDAS,0,unico
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0,palabra_riesgosa
27205,CONDOTO,CHOCÓ,2,unico
27250,EL LITORAL DEL SAN JUAN,CHOCÓ,33,unico
27450,MEDIO SAN JUAN,CHOCÓ,0,unico
27430,MEDIO BAUDÓ,CHOCÓ,0,unico
66594,QUINCHÍA,RISARALDA,0,unico
76845,ULLOA,VALLE DEL CAUCA,2,unico
27050,ATRATO,CHOCÓ,7,unico
27810,UNIÓN PANAMERICANA,CHOCÓ,0,unico
17616,RISARALDA,CALDAS,57,palabra_riesgosa
66687,SANTUARIO,RISARALDA,0,unico
17088,BELALCÁZAR,CALDAS,0,unico
73319,GUAMO,TOLIMA,4,unico
05615,RIONEGRO,ANTIOQUIA,0,nombre_repetido
76670,SAN PEDRO,VALLE DEL CAUCA,0,palabra_riesgosa
19845,VILLA RICA,CAUCA,0,palabra_riesgosa
05034,ANDES,ANTIOQUIA,0,unico
05001,MEDELLÍN,ANTIOQUIA,86,unico
17380,LA DORADA,CALDAS,0,unico
27491,NÓVITA,CHOCÓ,13,unico
27600,RÍO QUITO,CHOCÓ,0,unico
27413,LLORÓ,CHOCÓ,0,unico
66075,BALBOA,RISARALDA,0,nombre_repetido
27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,0,unico
25307,GIRARDOT,CUNDINAMARCA,1,unico
27160,CÉRTEGUI,CHOCÓ,1,unico
17777,SUPÍA,CALDAS,0,unico
19698,SANTANDER DE QUILICHAO,CAUCA,2,unico
