divipola,municipio,departamento,area_km2,celdas,muestreo,mmi_max,mmi_media,mmi_min,pga_max,vs30_medio,vs30_min,frac_mmi6,frac_mmi7,frac_mmi8,frac_pager6,frac_pager7,frac_pager8,peso_dano,pob_cabecera,pob_rural,pob_total,def_cuantitativo,def_cualitativo,def_habitacional,exposicion,vulnerabilidad,indice,pob_mmi6,pob_pager6,pob_mmi7,pob_pager7,pob_mmi8,pob_pager8,rank,nombre_norm,depto_norm,ambiguedad,requiere_contexto,menciones,notas_que_lo_nombran,menciones_nacional,menciones_regional,muertos_rep,heridos_rep,desaparecidos_rep,viv_colapsadas_rep,viv_averiadas_rep,fuente_perdidas,cobertura_dato,muertos_100k
66001,PEREIRA,RISARALDA,608.012203193,609,celdas,7.900000095367432,7.242363929748535,6.0,41.83000183105469,513.77587890625,217.8999938964844,1.0,0.7881773399014779,0.0,1.0,0.8522167487684729,0.4564860426929392,8.254910469055176,409683.0,78137.0,487820.0,4.034841537475586,17.280351638793945,21.31519317626953,4026910.425014496,1.213151931762695,4885254.161141672,487820,487820,384489,415728,0,222683,1,pereira,risaralda,unico,False,219,72,213,6,93.0,259.0,260.0,,,Asocapitales No. 22 vía Blu Radio,2,19.1
76001,CALI,VALLE DEL CAUCA,563.040919672,562,celdas,6.699999809265137,5.874377250671387,5.0,18.63999938964844,580.4318237304688,184.8999938964844,0.4181494661921708,0.0,0.0,0.7348754448398577,0.2117437722419929,0.0,1.1788650751113892,2217353.0,52630.0,2269983.0,1.8849141597747805,12.133184432983398,14.01809859275818,2676003.6797965765,1.1401809859275818,3051128.5139762973,949192,1668155,0,480655,0,0,2,cali,valle del cauca,corto,True,22,13,17,5,96.0,,,,,Asocapitales No. 22 vía Blu Radio,2,4.2
17001,MANIZALES,CALDAS,441.004225928,443,celdas,8.0,6.9002251625061035,6.0,35.41999816894531,666.5375366210938,339.0,1.0,0.5643340857787811,0.0022573363431151,1.0,0.7855530474040632,0.0699774266365688,5.436612606048584,449879.0,25811.0,475690.0,3.785468101501465,12.506049156188965,16.29151725769043,2586142.250571251,1.1629151725769042,3007464.06163149,475690,475690,268448,373680,1074,33288,3,manizales,caldas,unico,False,96,50,88,8,6.0,182.0,,1449.0,,Asocapitales No. 22 vía Blu Radio,2,1.3
63001,ARMENIA,QUINDIO,121.587950815,120,celdas,7.599999904632568,7.289166450500488,7.0,35.38999938964844,383.9783325195313,228.6999969482422,1.0,1.0,0.0,1.0,1.0,0.075,7.970072269439697,298815.0,8288.0,307103.0,3.814976692199707,9.811139106750488,13.626115798950195,2447633.1041617393,1.136261157989502,2781150.425268257,307103,307103,307103,307103,0,23033,4,armenia,quindio,nombre_repetido,True,4,4,4,0,0.0,174.0,,,54.0,Asocapitales No. 22 vía Blu Radio,2,0.0
66170,DOSQUEBRADAS,RISARALDA,70.1288668431,73,celdas,7.900000095367432,7.258904457092285,6.800000190734863,38.130001068115234,631.1452026367188,350.6000061035156,1.0,0.9315068493150684,0.0,1.0,1.0,0.2465753424657534,7.889136791229248,234946.0,11442.0,246388.0,1.9947344064712524,11.071704864501951,13.066439270973206,1943788.635717392,1.1306643927097322,2197772.5973594836,246388,246388,229512,246388,0,60753,5,dosquebradas,risaralda,unico,False,19,8,18,1,,,,,,,1,
76147,CARTAGO,VALLE DEL CAUCA,248.224035061,248,celdas,8.0,7.459273815155029,6.699999809265137,41.709999084472656,405.6048278808594,186.8999938964844,1.0,0.8991935483870968,0.0120967741935483,1.0,1.0,0.6290322580645161,9.772780418395996,139614.0,4592.0,144206.0,2.267540216445923,10.594124794006348,12.86166501045227,1409293.573015213,1.1286166501045227,1590552.1913902634,144206,144206,129669,144206,1744,90710,6,cartago,valle del cauca,unico,False,10,7,9,1,,,,,,,1,
76109,BUENAVENTURA,VALLE DEL CAUCA,6292.04789753,6283,celdas,7.699999809265137,5.902594089508057,4.599999904632568,26.540000915527344,470.0626831054687,192.5,0.4453286646506446,0.0593665446442782,0.0,0.7201973579500238,0.2602260066847047,0.0035015120165526,1.5840461254119873,262320.0,72897.0,335217.0,27.179946899414062,28.883188247680664,56.06313514709473,530999.1900222301,1.5606313514709471,828693.9835543714,149282,241422,19901,87232,0,1174,7,buenaventura,valle del cauca,unico,False,49,24,48,1,,,,,,,1,
76520,PALMIRA,VALLE DEL CAUCA,1005.1448311,1005,celdas,6.699999809265137,5.931343078613281,5.099999904632568,22.059999465942383,521.0703735351562,183.8000030517578,0.5194029850746269,0.0,0.0,0.6278606965174129,0.3263681592039801,0.0,1.4632238149642944,296852.0,85851.0,382703.0,1.899917483329773,24.469266891479492,26.369184374809265,559980.1436582804,1.2636918437480926,707642.3402018541,198777,240284,0,124902,0,0,8,palmira,valle del cauca,unico,False,12,9,10,2,,,,,,,1,
27001,QUIBDÓ,CHOCÓ,3507.12280944,3528,celdas,7.800000190734863,6.194756507873535,5.0,31.040000915527344,464.4021606445313,196.5,0.5929705215419501,0.1326530612244898,0.0,0.9243197278911564,0.320578231292517,0.0195578231292517,2.2788023948669434,122692.0,20640.0,143332.0,26.47067070007324,63.23115921020508,89.70182991027832,326625.3048610687,1.897018299102783,619614.1802714725,84992,132485,19013,45949,0,2803,9,quibdo,choco,unico,False,97,42,90,7,9.0,119.0,,100.0,2125.0,Asocapitales No. 22 vía Blu Radio,2,6.3
76130,CANDELARIA,VALLE DEL CAUCA,296.476940727,293,celdas,6.699999809265137,6.398293972015381,6.199999809265137,18.459999084472656,231.9129638671875,183.5,1.0,0.0,0.0,1.0,0.2559726962457337,0.0,2.3329293727874756,29309.0,86624.0,115933.0,4.732812404632568,69.04724884033203,73.7800612449646,270463.5009753704,1.737800612449646,470011.6376402742,115933,115933,0,29676,0,0,10,candelaria,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
17174,CHINCHINÁ,CALDAS,109.372321072,106,celdas,7.599999904632568,7.172641277313232,6.800000190734863,37.0099983215332,525.7962036132812,328.0,1.0,0.8962264150943396,0.0,1.0,1.0,0.0283018867924528,7.029410362243652,44899.0,5553.0,50452.0,4.149325370788574,15.891033172607422,20.040358543395996,354647.81159591675,1.20040358543396,425720.504606046,50452,50452,45216,50452,0,1428,11,chinchina,caldas,unico,False,0,0,0,0,,,,,,,1,
66682,SANTA ROSA DE CABAL,RISARALDA,543.490030508,549,celdas,7.5,6.695082187652588,6.0,35.91999816894531,721.5147705078125,383.1000061035156,1.0,0.2841530054644808,0.0,1.0,0.644808743169399,0.0036429872495446,4.083535194396973,70752.0,13302.0,84054.0,4.093227386474609,18.274133682250977,22.367361068725582,343237.46722984314,1.223673610687256,420010.6308482908,84054,84054,23884,54199,0,306,12,santa rosa de cabal,risaralda,unico,False,4,2,4,0,,,,,,,1,
63130,CALARCÁ,QUINDIO,220.82757999,215,celdas,7.5,6.650697708129883,6.099999904632568,33.779998779296875,654.3228149414062,295.8999938964844,1.0,0.3395348837209302,0.0,1.0,0.5674418604651162,0.0046511627906976,3.925626277923584,57323.0,17076.0,74399.0,6.045738220214844,24.357587814331055,30.4033260345459,292062.6694512367,1.304033260345459,380859.4350696943,74399,74399,25261,42217,0,346,13,calarca,quindio,unico,False,4,3,4,0,,,,,,,1,
76834,TULUÁ,VALLE DEL CAUCA,909.358972232,911,celdas,6.900000095367432,5.993084907531738,5.5,32.380001068115234,699.46630859375,207.3999938964844,0.3501646542261251,0.0,0.0,1.0,0.2019758507135016,0.0,1.3427573442459106,187083.0,38785.0,225868.0,3.5448801517486572,17.630916595458984,21.17579674720764,303285.91583013535,1.2117579674720764,367509.12492923206,79091,225868,0,45620,0,0,14,tulua,valle del cauca,unico,False,6,5,6,0,,,,,,,1,
63470,MONTENEGRO,QUINDIO,149.034327944,153,celdas,7.400000095367432,7.194117546081543,6.800000190734863,37.25,403.90130615234375,266.5,1.0,0.8823529411764706,0.0,1.0,1.0,0.0,7.214432239532471,30669.0,6814.0,37483.0,8.035181045532227,18.503971099853516,26.539152145385746,270418.5636343956,1.2653915214538574,342185.3576666946,37483,37483,33073,37483,0,0,15,montenegro,quindio,unico,False,1,1,1,0,,,,,,,1,
73001,IBAGUÉ,TOLIMA,1377.25137596,1388,celdas,6.599999904632568,5.678314208984375,5.099999904632568,25.690000534057617,707.2962036132812,240.6000061035156,0.2413544668587896,0.0,0.0,0.7485590778097982,0.0021613832853025,0.0,0.5074843168258667,516862.0,40455.0,557317.0,3.1457865238189697,15.269622802734377,18.415409326553345,282829.63700044155,1.1841540932655334,334913.87235087785,134511,417185,0,1205,0,0,16,ibague,tolima,unico,False,2,2,2,0,,,,,,,1,
63594,QUIMBAYA,QUINDIO,133.520353956,133,celdas,7.599999904632568,7.33759355545044,6.800000190734863,38.349998474121094,417.4744262695313,312.70001220703125,1.0,0.9924812030075189,0.0,1.0,1.0,0.1804511278195488,8.403536796569824,25378.0,5972.0,31350.0,4.096288204193115,17.2448673248291,21.341155529022217,263450.878572464,1.213411555290222,319674.34031118895,31350,31350,31114,31350,0,5657,17,quimbaya,quindio,unico,False,6,2,6,0,,,,,,,1,
27361,ISTMINA,CHOCÓ,1879.96677361,1888,celdas,7.0,6.773040771484375,6.300000190734863,37.310001373291016,312.5339660644531,209.8999938964844,1.0,0.024364406779661,0.0,1.0,0.9798728813559322,0.0,4.227947235107422,26467.0,10250.0,36717.0,32.41245651245117,66.87265014648438,99.28510665893556,155237.5386314392,1.9928510665893555,309365.2944363699,36717,36717,895,35978,0,0,18,istmina,choco,unico,False,8,5,8,0,,,,,,,1,
76895,ZARZAL,VALLE DEL CAUCA,367.946908389,380,celdas,7.199999809265137,6.928158283233643,6.5,38.02000045776367,349.07525634765625,193.8999938964844,1.0,0.4973684210526315,0.0,1.0,1.0,0.0,5.220648288726807,34159.0,9834.0,43993.0,2.297032594680786,28.400362014770508,30.697394609451297,229671.9801659584,1.306973946094513,300175.2942248434,43993,43993,21881,43993,0,0,19,zarzal,valle del cauca,unico,False,0,0,0,0,,,,,,,1,
17873,VILLAMARÍA,CALDAS,455.076577794,456,celdas,7.699999809265137,6.501096725463867,5.900000095367432,32.08000183105469,763.1185302734375,430.5,0.9890350877192984,0.131578947368421,0.0,1.0,0.5,0.0087719298245614,3.0714051723480225,66008.0,8455.0,74463.0,4.077517032623291,18.449657440185547,22.52717447280884,228706.0433485508,1.2252717447280883,280227.05276353663,73647,74463,9798,37232,0,653,20,villamaria,caldas,unico,False,1,1,0,1,,,,,,,1,
63190,CIRCASIA,QUINDIO,90.3166858718,90,celdas,7.5,7.235555171966553,7.0,34.33000183105469,463.5189208984375,361.8999938964844,1.0,1.0,0.0,1.0,1.0,0.0222222222222222,7.506872653961182,21536.0,7435.0,28971.0,5.442855358123779,20.88460350036621,26.32745885848999,217481.6076579094,1.2632745885849,274738.9884388281,28971,28971,28971,28971,0,644,21,circasia,quindio,unico,False,0,0,0,0,,,,,,,1,
66400,LA VIRGINIA,RISARALDA,32.941570425,32,celdas,7.599999904632568,7.296875,6.900000095367432,40.08000183105469,457.6343994140625,262.6000061035156,1.0,0.96875,0.0,1.0,1.0,0.125,8.067071914672852,27764.0,622.0,28386.0,2.424311399459839,13.46460247039795,15.888913869857788,228991.90336990356,1.1588891386985778,265376.2296652955,28386,28386,27499,28386,0,3548,22,la virginia,risaralda,unico,False,0,0,0,0,,,,,,,1,
63401,LA TEBAIDA,QUINDIO,89.4170735698,87,celdas,7.400000095367432,7.048276901245117,6.699999809265137,35.279998779296875,393.0321960449219,235.8000030517578,1.0,0.6091954022988506,0.0,1.0,1.0,0.0,6.093228816986084,30338.0,3420.0,33758.0,6.562804222106934,16.572542190551758,23.13534641265869,205695.21840381625,1.2313534641265869,253283.51973581396,33758,33758,20565,33758,0,0,23,la tebaida,quindio,unico,False,0,0,0,0,,,,,,,1,
76400,LA UNIÓN,VALLE DEL CAUCA,120.874948973,123,celdas,7.300000190734863,6.787805080413818,6.199999809265137,39.900001525878906,530.3780517578125,184.1000061035156,1.0,0.3902439024390244,0.0,1.0,0.7317073170731707,0.0,4.64698600769043,28254.0,6445.0,34699.0,3.7300519943237305,22.726398468017575,26.45645046234131,161245.76748085022,1.264564504623413,203905.6740770434,34699,34699,13541,25390,0,0,24,la union,valle del cauca,palabra_riesgosa,True,0,0,0,0,,,,,,,1,
76622,ROLDANILLO,VALLE DEL CAUCA,234.948640383,233,celdas,7.199999809265137,6.592703819274902,6.099999904632568,39.119998931884766,578.2433471679688,191.3999938964844,1.0,0.2360515021459227,0.0,1.0,0.592274678111588,0.0,3.5118072032928467,30066.0,8573.0,38639.0,1.9300247430801392,25.11884307861328,27.04886782169342,135692.7185280323,1.2704886782169342,172396.06260634225,38639,38639,9121,22885,0,0,25,roldanillo,valle del cauca,unico,False,7,4,7,0,,,,,,,1,
17042,ANSERMA,CALDAS,209.153270902,210,celdas,7.300000190734863,6.555238723754883,6.099999904632568,36.86000061035156,674.8342895507812,325.8999938964844,1.0,0.1333333333333333,0.0,1.0,0.5571428571428572,0.0,3.2432847023010254,22190.0,15162.0,37352.0,5.498567581176758,34.072635650634766,39.57120323181152,121143.1702003479,1.3957120323181154,169080.9802817869,37352,37352,4980,20810,0,0,26,anserma,caldas,unico,False,0,0,0,0,,,,,,,1,
