departamento,muertos,heridos,desaparecidos,viv_averiadas,viv_destruidas,edif_colapsadas,fecha,corte,fuente,url
RISARALDA,90.0,224.0,14.0,40,0.0,0.0,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
VALLE DEL CAUCA,70.0,1648.0,171.0,1073,256.0,44.0,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
CHOCÓ,14.0,131.0,10.0,1832,715.0,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
CALDAS,6.0,274.0,,1959,156.0,4.0,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
QUINDIO,0.0,306.0,,2144,3.0,0.0,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
ANTIOQUIA,1.0,,,857,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
TOLIMA,,,,234,6.0,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
CUNDINAMARCA,,,,89,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
HUILA,,,,52,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
SUCRE,,,,56,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
CAUCA,,,,5,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
NORTE DE SANTANDER,,,,5,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
BOLIVAR,,,,1,,,2026-08-11,mañana,UNGRD vía Valora Analitik,https://www.valoraanalitik.com/terremoto-en-colombia-balance-de-departamentos-y-ciudades-mas-afectadas/
