divipola,municipio,departamento,mmi_max,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,desliz_max,desliz_media,desliz_km2,desliz_frac,licuef_max,licuef_media,licuef_km2,licuef_frac,pob_rural_desliz,pob_licuef
05001,MEDELLÍN,ANTIOQUIA,5.800000190734863,726.828125,2526795.0,2478217.0,48578.0,12.979388236999512,0.0016,0.0005975990907799404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05002,ABEJORRAL,ANTIOQUIA,6.099999904632568,740.2485961914062,21126.0,8520.0,12606.0,49.991703033447266,0.0089,0.0009531660191116245,0.0,0.0,0.0116,8.577441077441079e-05,0.0,0.0,0.0,0.0
05004,ABRIAQUÍ,ANTIOQUIA,5.300000190734863,748.2776489257812,2804.0,914.0,1890.0,43.17010498046875,0.0013,0.0006267215167233052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05021,ALEJANDRÍA,ANTIOQUIA,5.800000190734863,540.4641723632812,5347.0,3022.0,2325.0,32.7312126159668,0.0009,0.0005531853678586107,0.0,0.0,0.2635,0.0023090609555189456,0.6391546290039088,0.004942339373970346,0.0,26.0
05030,AMAGÁ,ANTIOQUIA,5.900000095367432,782.4204711914062,33092.0,16361.0,16731.0,42.74456787109375,0.0038,0.0008589420654911838,0.0,0.0,0.0045,2.4181360201511333e-05,0.0,0.0,0.0,0.0
05031,AMALFI,ANTIOQUIA,5.099999904632568,625.3617553710938,29394.0,17045.0,12349.0,24.157716751098633,0.0012,0.0005147310647639956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05034,ANDES,ANTIOQUIA,6.5,777.5492553710938,45436.0,22394.0,23042.0,52.54792785644531,0.0271,0.0014520756213643575,0.0,0.0,0.0109,1.827277514481306e-05,0.0,0.0,0.0,0.0
05036,ANGELÓPOLIS,ANTIOQUIA,5.599999904632568,798.428955078125,6214.0,2556.0,3658.0,47.73519134521485,0.0039,0.0008951235370611184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05038,ANGOSTURA,ANTIOQUIA,5.300000190734863,563.0183715820312,12558.0,3193.0,9365.0,67.4306411743164,0.001,0.0005551129234629862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05040,ANORÍ,ANTIOQUIA,5.0,628.4073486328125,21307.0,9506.0,11801.0,37.15916442871094,0.0021,0.0005391071093603451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,5.699999809265137,761.666748046875,28673.0,18671.0,10002.0,32.483604431152344,0.0018,0.000658020202020202,0.0,0.0,0.035,0.0001488888888888889,0.0,0.0,0.0,0.0
05044,ANZÁ,ANTIOQUIA,5.599999904632568,783.8640747070312,7737.0,1663.0,6074.0,62.375770568847656,0.0025,0.0007449781659388646,0.0,0.0,0.0066,1.745635910224439e-05,0.0,0.0,0.0,0.0
05045,APARTADÓ,ANTIOQUIA,5.0,404.9443054199219,125881.0,105207.0,20674.0,30.862035751342773,0.0006,0.00023379086147733434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05055,ARGELIA,ANTIOQUIA,5.699999809265137,808.839599609375,8242.0,3934.0,4308.0,49.02826690673828,0.0052,0.0008534199134199134,0.0,0.0,0.001,1.4821272885789016e-06,0.0,0.0,0.0,0.0
05059,ARMENIA,ANTIOQUIA,5.800000190734863,771.2395629882812,5292.0,1927.0,3365.0,45.022193908691406,0.006,0.0007992333493052228,0.0,0.0,0.0036,9.961685823754788e-06,0.0,0.0,0.0,0.0
05079,BARBOSA,ANTIOQUIA,5.099999904632568,806.468017578125,64314.0,27477.0,36837.0,45.107887268066406,0.0011,0.0005935550399587522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05086,BELMIRA,ANTIOQUIA,5.599999904632568,609.8245239257812,6148.0,1827.0,4321.0,60.07677459716797,0.001,0.0005596195262024407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05088,BELLO,ANTIOQUIA,5.699999809265137,698.2686157226562,609168.0,587840.0,21328.0,15.517924308776855,0.0016,0.0005775539568345324,0.0,0.0,0.0009,1.4676258992805754e-05,0.0,0.0,0.0,0.0
05091,BETANIA,ANTIOQUIA,6.300000190734863,758.8971557617188,10743.0,4033.0,6710.0,57.0247917175293,0.0234,0.001341256266588027,0.0,0.0,0.0119,2.5266903914590745e-05,0.0,0.0,0.0,0.0
05093,BETULIA,ANTIOQUIA,5.699999809265137,794.1455078125,17068.0,5204.0,11864.0,66.96823120117188,0.0024,0.0008147225597407858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05101,CIUDAD BOLÍVAR,ANTIOQUIA,6.199999809265137,767.5004272460938,27720.0,17192.0,10528.0,44.923858642578125,0.0147,0.0010958030669895075,0.0,0.0,0.0124,1.706924315619968e-05,0.0,0.0,0.0,0.0
05107,BRICEÑO,ANTIOQUIA,4.699999809265137,847.6085205078125,7905.0,2818.0,5087.0,54.03543472290039,0.0013,0.0005664832839610665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05113,BURITICÁ,ANTIOQUIA,4.900000095367432,860.31494140625,11168.0,3011.0,8157.0,54.85765838623047,0.0031,0.000678796476034045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05120,CÁCERES,ANTIOQUIA,4.900000095367432,369.15484619140625,28944.0,7011.0,21933.0,43.043479919433594,0.0007,0.0002631437255753365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05125,CAICEDO,ANTIOQUIA,5.300000190734863,811.3921508789062,9134.0,2131.0,7003.0,69.77352142333984,0.0017,0.0006924774056353004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05129,CALDAS,ANTIOQUIA,6.0,701.518798828125,89671.0,70829.0,18842.0,25.84783935546875,0.0039,0.0009240688826591912,0.0,0.0,0.0098,9.131832797427652e-05,0.0,0.0,0.0,0.0
05134,CAMPAMENTO,ANTIOQUIA,4.599999904632568,784.744384765625,10063.0,3087.0,6976.0,64.26956176757812,0.0012,0.0005952228571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05138,CAÑASGORDAS,ANTIOQUIA,5.0,787.3875732421875,15337.0,5462.0,9875.0,58.07256317138672,0.0011,0.0006032290909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
